,,min,max
0-5,A,0.07,0.37
0-5,M,0.26,1.22
0-5,G,1,1.34
0-5,G1,0.56,2.15
0-5,G2,0,0.82
0-5,G3,0.07,8.23
0-5,G4,0,0.198
6-9,A,0.16,0.5
6-9,M,0.32,1.32
6-9,G,1.64,5.88
6-9,G1,1.02,3.69
6-9,G2,0,0.89
6-9,G3,0.11,0.74
6-9,G4,0,0.208
10-15,A,0.27,0.66
10-15,M,0.4,1.43
10-15,G,2.46,9.04
10-15,G1,1.6,5.62
10-15,G2,0.24,0.98
10-15,G3,0.173,0.637
10-15,G4,0,0.22
15-24,A,0.36,0.79
15-24,M,0.46,1.52
15-24,G,3.13,11.7
15-24,G1,2.09,7.24
15-24,G2,0.35,1.05
15-24,G3,0.219,0.55
15-24,G4,0,0.23
25-48,A,0.27,2.46
25-48,M,0.37,1.84
25-48,G,2.95,11.56
25-48,G1,1.58,7.21
25-48,G2,0.39,1.76
25-48,G3,0.17,0.847
25-48,G4,0.004,0.491
49-84,A,0.29,2.56
49-84,M,0.37,2.24
49-84,G,3.86,14.7
49-84,G1,2.09,9.02
49-84,G2,0.44,3.16
49-84,G3,0.108,0.949
49-84,G4,0.01,0.819
85-120,A,0.34,2.74
85-120,M,0.38,2.51
85-120,G,4.62,16.82
85-120,G1,2.53,10.19
85-120,G2,0.54,4.35
85-120,G3,0.085,10.26
85-120,G4,0.01,1.087
121-156,A,0.42,2.95
121-156,M,0.41,2.55
121-156,G,5.03,15.8
121-156,G1,2.8,10.3
121-156,G2,0.66,5.02
121-156,G3,0.115,10.53
121-156,G4,0.01,1.219
157-192,A,0.52,3.19
157-192,M,0.45,2.44
157-192,G,5.09,15.8
157-192,G1,2.89,9.34
157-192,G2,0.82,5.16
157-192,G3,0.2,10.32
157-192,G4,0.007,1.217
193-216,A,0.6,3.37
193-216,M,0.49,2.01
193-216,G,4.87,13.27
193-216,G1,2.83,7.72
193-216,G2,0.98,4.86
193-216,G3,0.313,0.976
193-216,G4,0.003,1.11
217+,A,0.61,3.56
217+,M,0.37,2.86
217+,G,7.67,15.9
217+,G1,3.41,8.94
217+,G2,1.71,6.32
217+,G3,0.184,10.6
217+,G4,0.024,1.21
1200,,,
