,,min,max
0-1,A,0,0.11
0-1,M,0.05,0.3
0-1,G,7,13
2-4,A,0.06,0.5
2-4,M,0.15,0.7
2-4,G,2.8,7.5
5-7,A,0.08,0.9
5-7,M,0.1,0.9
5-7,G,2,12
8-13,A,0.16,1
8-13,M,0.25,1.15
8-13,G,3,15
14-36,A,0.2,2.3
14-36,M,0.3,1.2
14-36,G,4,13
37-72,A,0.5,1.5
37-72,M,0.22,1
37-72,G,6,15
73+,A,0.7,3.12
73+,M,0.56,3.52
73+,G,6.39,13.44
0-3,G1,2.18,4.96
0-3,G2,0.4,1.67
0-3,G3,0.04,0.23
0-3,G4,0.01,1.2
4-6,G1,1.43,3.94
4-6,G2,0.23,1.47
4-6,G3,0.04,1
4-6,G4,0.01,1.2
7-9,G1,1.9,3.88
7-9,G2,0.37,0.6
7-9,G3,0.12,0.62
7-9,G4,0.01,1.2
10-24,G1,2.86,6.8
10-24,G2,0.3,3.27
10-24,G3,0.13,0.82
10-24,G4,0.01,1.2
25-48,G1,3.81,8.84
25-48,G2,0.7,4.43
25-48,G3,0.17,0.9
25-48,G4,0.01,1.2
49-72,G1,2.92,8.16
49-72,G2,0.83,5.13
49-72,G3,0.08,1.11
49-72,G4,0.02,1.12
73-96,G1,4.22,8.02
73-96,G2,1.13,4.8
73-96,G3,0.15,1.33
73-96,G4,0.01,1.38
97-120,G1,4.56,9.38
97-120,G2,1.63,5.13
97-120,G3,0.26,1.13
97-120,G4,0.01,0.95
121-144,G1,4.56,9.52
121-144,G2,1.47,4.93
121-144,G3,0.12,1.79
121-144,G4,0.01,1.53
145-168,G1,3.47,9.93
145-168,G2,1.4,4.4
145-168,G3,0.23,1.17
145-168,G4,0.01,1.43
168+,G1,4.22,12.92
168+,G2,1.17,7.47
168+,G3,0.41,1.29
168+,G4,0.1,0.67
