,,min,max,minMean,maxMean,minCon,maxCon
1-3,A,0.06,0.47,0.039,0.28,0,0.364
1-3,M,0.18,0.87,0.183,0.512,0.028,0.636
1-3,G,2.27,7.7,2.964,5.707,0.457,6.771
4-6,A,0.07,0.63,0.072,0.327,0,0.534
4-6,M,0.18,1.36,0.244,0.759,0.116,0.895
4-6,G,1.41,8.85,2.09,5.553,1.414,8.255
7-12,A,0.12,1.14,0.125,0.59,0,0.723
7-12,M,0.28,1.15,0.367,0.792,0.196,1.146
7-12,G,3.5,10.1,4.173,8.189,2.36,9.723
13-24,A,0.15,0.52,0.264,0.483,0,0.939
13-24,M,0.32,1.48,0.489,1.22,0.265,1.386
13-24,G,4.32,9.9,4.933,8.49,3.29,11.185
25-36,A,0.24,0.84,0.382,0.702,0.023,1.192
25-36,M,0.47,1.44,0.749,1.26,0.319,1.61
25-36,G,4.37,13.2,6.412,10.283,4.197,12.619
37-60,A,0.55,1.35,0.734,1.153,0.132,1.492
37-60,M,0.65,2.05,0.838,1.584,0.354,1.816
37-60,G,5.24,14,7.578,12.311,5.077,14.026
61-96,A,0.81,2.64,0.828,1.777,0.297,1.846
61-96,M,0.47,1.98,0.787,1.576,0.366,2
61-96,G,8.58,16,9.349,13.906,5.923,15.399
97-132,A,0.78,3.34,0.899,2.31,0.527,2.266
97-132,M,0.38,1.63,0.658,1.389,0.352,2.157
97-132,G,6.45,15.2,9.289,14.254,6.731,16.734
133-192,A,0.87,2.34,1.14,2.132,0.83,2.758
133-192,M,0.47,2.85,0.859,2.013,0.308,2.284
133-192,G,8.77,16.2,9.843,14.436,7.495,18.025
